Publicerings-id,Konto-id,"Kontots användarnamn",Kontonamn,Beskrivning,"Varaktighet (sek)",Publiceringstid,Permalänk,Inläggstyp,Datakommentar,Datum,Visningar,Räckvidd,Gilla-markeringar,Delningar,Följer,Kommentarer,"Sparade objekt"
18064936301284289,17841401044357964,p4blekinge,"Sveriges Radio P4 Blekinge","Sölvesborg kan ha tre riksdagsledamöter efter valet. Ovanligt många för en kommun med bara 17 000 invånare.
➖
Karolina Widerberg står på Sverigedemokraternas lista och kan bli den tredje Sölvesborgaren efter Heléne Björklund (S) och Jimmie Åkesson (SD). Hon väljs in om partiet får mer än 14 procent av rösterna i valet.
➖
Och Karolina Widerbergs väg hit har inte varit helt rak – förra mandatperioden ombads hon nämligen att lämna partiet.

Lyssna i Sveriges Radio-appen 📱
📸Niklas Eriksson/Sveriges Radio",0,"02/05/2026 22:23",https://www.instagram.com/p/DUaAEjFjfhA/,"IG image",,Livstid,6309,3708,38,1,0,0,2
17877975171467965,17841401044357964,p4blekinge,"Sveriges Radio P4 Blekinge","Intresset för yrkesprogram på gymnasiet ökar. I Blekinge märks det särskilt mycket på industritekniska programmet där antalet förstahandssökande nästan tredubblats på fem år.
🛠️
I höst ska industritekniska programmet på Nordenbergsskolan i Olofström öppna en tredje inriktning. Läraren Eric Jönsson ser en koppling till industrins behov och goda jobbchanser.
🛠️
Niondeklassaren Elvin von Holten, som valt industriteknik i gymnasievalet, säger att praktiskt arbete lockar dagens ungdomar mer än kontorsjobb.

Lyssna i Sveriges Radio-appen 📱
Foto: Tim Gashi/Sveriges Radio",0,"02/05/2026 00:34",https://www.instagram.com/p/DUXqUEMgIHP/,"IG image",,Livstid,5133,3090,37,0,0,0,2
18114687331712856,17841401044357964,p4blekinge,"Sveriges Radio P4 Blekinge","Nu är det klart vilken fråga Karlshamnsborna ska ta ställning till i folkomröstningen om kärnkraft den 14 juni. 

Hör mer här: https://www.sverigesradio.se/artikel/klart-har-ar-karnkraftsfragan-karlshamnsborna-ska-rosta-om

Foto: Kärnfull Next",0,"02/03/2026 12:26",https://www.instagram.com/p/DUTyKNsjqKz/,"IG image",,Livstid,5171,2976,30,1,0,0,2
17902721889204320,17841401750637512,p4dalarna,"P4 Dalarna","Ensamhet bland äldre ses som ett växande folkhälsoproblem men i Björbo träffas män varje måndag för att råda bot på ensamheten. ”Det här är en ventil, det är jätteviktigt för mig”, säger Pelle Källs.
💕
Han har levt ensam sedan hans fru flyttade in på ett demensboende. Måndagsträffarna, som kallas för ”Käringfritt”, blir allt mer populära och lockar män från hela kommunen för kaffe, nybakt, skratt och samtal.
💕
Och de äldre herrarna är överens om att träffarna skulle kunna minska risken att dö i förtid.
📸 Matilda Bjerlöw/Sveriges Radio
📲 Hör mer i appen Sveriges Radio
/Frida",0,"02/03/2026 01:40",https://www.instagram.com/p/DUSoRO8j3f6/,"IG image",,Livstid,14475,8969,149,20,0,4,6
18055466825394138,17841401750637512,p4dalarna,"P4 Dalarna","Det finns inget dåligt väder, bara dåliga kläder – åtminstone om man frågar Fethi Hassen från Falun.

När det i dagarna nu varit kallt så gäller det att klä sig rätt för att inte frysa. Fethi Hassen själv är klädd i varma kläder och på huvudet har han en så kallad björnfitta.

Han ser många som har alldeles för lite kläder på sig i kylan. 
📲Hör mer i appen Sveriges Radio Play. 
📸Emma Hulander/Sveriges Radio",0,"02/05/2026 02:36",https://www.instagram.com/p/DUX4OtxiDGr/,"IG image",,Livstid,13084,8155,52,18,1,3,3
18093623182803740,17841401750637512,p4dalarna,"P4 Dalarna","Snart kan anställda på Älvdalens kommun ligga med varandra på arbetstid, enligt ett förslag från Centerpartiet.
☺️
Tanken är att sex ska räknas som en valfri hälsofrämjande aktivitet när de anställda har sin friskvårdstimme.
💪🏓💋
Samtidigt betonas att sexet inte får störa arbetsmiljön och att det krävs samtycke.
😉💋
Exakt hur de nya reglerna för friskvård ska se ut håller just nu på att arbetas fram.
📸Karin Malmhav/SvD/TT
/ P4 Dalarna",0,"02/05/2026 09:20",https://www.instagram.com/p/DUYmdb9jZ5Y/,"IG image",,Livstid,24780,14091,117,867,1,12,39
18559124353044606,17841401750637512,p4dalarna,"P4 Dalarna","Det särskilda boendet Källegården i Svärdsjö har fått robotkatter som ska sprida glädje och lugn bland de äldre.

Robotkatterna, som både spinner och jamar, har skänkts av Sveriges pensionärsförening i Svärdsjö som fått pengar av Socialstyrelsen för att köpa in robotkatterna till boendet.

 ""Det känns bra"", säger Gunnar Näslund som bor på boendet. Han menar att katterna väcker minnen.

Enhetschefen Malin Liljemark Bäcklund säger att robotkatterna är uppskattade och att de fungerar som ett terapihjälpmedel.
/Elvir

Foto: Eva Larsen/Sveriges Radio",0,"02/09/2026 05:20",https://www.instagram.com/p/DUieMsEiqtC/,"IG carousel",,Livstid,14720,7043,84,1,0,2,5
17862958521513629,17841401750637512,p4dalarna,"P4 Dalarna","Susanne Sundberg i Långshyttan i Hedemora blev av med sin personliga assistans. Nu känner hon sig desperat.
👩‍🦽‍➡️
Hon överväger att göra något brottsligt för att hamna i fängelse. ""För där kanske jag åtminstone kan få bra lagad mat och lite hjälp"", säger hon.
👩‍🦼
Susanne har en svår form av medfödd benskörhet, sitter i rullstol och har haft personlig assistans i 30 år. När hon flyttade från Falun till Hedemora drog hennes nya hemkommun in assistansen.
👩‍🦽‍➡️
”Man vet inte om man ska skratta, gråta eller skrika” säger Susanne.
📸Matilda Bjerlöw/Sveriges Radio",0,"02/09/2026 22:45",https://www.instagram.com/p/DUkVzyFj8cl/,"IG image",,Livstid,33979,20891,240,24,0,33,19
17854260090582549,17841401750637512,p4dalarna,"P4 Dalarna","Neonatalavdelningens personal vid Falu lasarett slår larm. För de menar att vården av barn inte längre är säker.
👶
Kritiken handlar om att personalen byter arbetsuppgifter så ofta att det sägs bli dåligt för både patienter och anställda
""Alla mår ju skitdåligt. Vi får ingen gehör alls"", säger sjuksköterskan Frida Wallin.
👶
Förändrade arbetsvillkor gör att personal kan flyttas mellan avdelningar med kort varsel, så att man ibland jobbar med för tidigt födda barn och ibland äldre barn upp till 18 år.
👶
Chefen för barnkliniken har valt att inte kommentera situationen.
📸Eva Larsen/Sveriges radio",0,"02/11/2026 23:00",https://www.instagram.com/p/DUphGzVjkSj/,"IG image",,Livstid,15146,9597,71,11,0,3,3
17906615013180636,17841401750637512,p4dalarna,"P4 Dalarna","Skid-VM i Falun 2027 lockar redan gäster. En hotellchef i Falun berättar att alla deras 191 rum varit bokade sedan flera år.
🛌
”Först ungefär vid Gävle skulle jag säga att det dyker upp hotellrum”, säger hotellchefen Jennie Nilsmats.
🛌
Varje vecka måste de hänvisa folk som vill boka VM-boende till hotell åtta mil bort – eller till små uthyrare i Falun.
🛌
📲Hör mer i appen Sveriges Radio Play. 
📸Matilda Bjerlöw/Sveriges Radio. 
/Liss",0,"02/13/2026 06:37",https://www.instagram.com/p/DUs6Mc7iOtr/,"IG image",,Livstid,14542,8552,61,21,0,0,5
